Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_OE,AT_OE,AG_OE,AC_OE,TA_OE,TT_OE,TG_OE,TC_OE,GA_OE,GT_OE,GG_OE,GC_OE,CA_OE,CT_OE,CG_OE,CC_OE,CA_and_TG_OE,AC_and_GT_OE,AG_and_CT_OE,GA_and_TC_OE,AA_and_TT_OE,CC_and_GG_OE
Plocamopherus tilesii,gene_associated_-2kb_+1kb,109.0,Plocamopherus_tilesii_ott2875191,801631259.0,,0.945179829663198,,,0.7577535832547178,,,,,,,0.9318703880732064,,,0.6307455403837235,,1.2020194700530673,0.9559152651459399,0.9553524983962106,1.0200600219438685,1.1081243995242067,1.1078573898679633
Placobdella costata,gene_associated_-2kb_+1kb,922.6388889,Placobdella_costata_ott401395,488196438.0,,1.1109348845314122,,,0.8703870625260323,,,,,,,0.8930853970344813,,,0.6956218183779924,,1.3015148827123013,1.0009024305104604,0.7455418860286971,0.952587954605797,1.0092072068163414,1.205078710457982
Callinectes sapidus,gene_associated_-2kb_+1kb,2920.0,Callinectes_sapidus_ott182906,997995872.0,,0.8624276793888522,,,0.7897812648990573,,,,,,,0.8436352065242014,,,0.5281769941960396,,1.1488663994455046,0.9853926299461846,1.1253012973316663,1.0636130101519763,1.0586029351205293,1.0876241924835894
Centruroides vittatus,gene_associated_-2kb_+1kb,1460.0,Centruroides_vittatus_ott988689,760163932.0,,0.9338503481706176,,,0.8372162476636832,,,,,,,1.1019705171273757,,,0.8158093527578928,,1.1039782679687369,0.9322519992409742,0.9235406233575817,0.9663998243534191,1.1310913443436967,1.1230780966519625
Hapalochlaena maculosa,gene_associated_-2kb_+1kb,212.9166667,Hapalochlaena_maculosa_ott629519,4009598772.0,,0.95769407839984,,,0.8147403690374172,,,,,,,0.9930973992986905,,,0.5145387968321112,,1.254466443845018,0.9914073864222488,0.9926914048657692,0.9645223637200385,1.0521184842925617,1.078968663466564
Turbatrix aceti,gene_associated_-2kb_+1kb,92.6,Turbatrix_aceti_ott1046794,60170795.0,,0.8560738713908147,,,0.5797141936782201,,,,,,,1.1197344375269347,,,1.2099409217047394,,1.047318861011581,0.9082214912499198,0.8202273911166854,1.03065172466678,1.3586222033851933,0.9575981781392796
Platydemus manokwari,gene_associated_-2kb_+1kb,730.0,Platydemus_manokwari_ott1048970,911170071.0,,1.033212244818795,,,0.7881892851378818,,,,,,,1.0028096943573384,,,0.9663811582755264,,1.159350821795209,0.8519234965394269,0.8238121210594217,1.1164231792488604,1.0991686650516628,1.074935500451529
Goniobranchus kuniei,gene_associated_-2kb_+1kb,365.0,Goniobranchus_kuniei_ott168509,1190951304.0,,0.920740917239936,,,0.7154525073999313,,,,,,,0.973359562352994,,,0.5621148233037611,,1.2257488381626722,0.9327290255582005,1.0095420687090535,1.0481284047922441,1.115036750395121,1.0575389477900534
Caenorhabditis macrosperma,gene_associated_-2kb_+1kb,13.0,Caenorhabditis_macrosperma_ott624491,112952290.0,,0.8995122182403572,,,0.5240118534904129,,,,,,,0.8972095481435837,,,1.0995723897277052,,1.0163918328886954,0.8751525102100576,0.957314689855511,1.2670492270955291,1.239977008993933,0.9320145417622125
Megalonaias nervosa,gene_associated_-2kb_+1kb,16425.0,Megalonaias_nervosa_ott609673,2365218322.0,,0.9735485269863308,,,0.792849522858017,,,,,,,1.0090165753513551,,,0.4241089805587602,,1.30361488664559,0.97849981876043,0.9800274611016402,0.9777412090978234,1.0496619945116894,1.0691615800030156
Hydroides elegans,gene_associated_-2kb_+1kb,304.1666667,Hydroides_elegans_ott327380,1026046400.0,,1.0214959509328956,,,0.8350062787216828,,,,,,,1.1219282648879003,,,1.0262079458517936,,1.1257873958087736,0.9318162974024936,0.8303034840015544,0.9709327067762259,1.1111199286222682,1.0524589558379216
Panulirus cygnus,gene_associated_-2kb_+1kb,9855.0,Panulirus_cygnus_ott180995,935571898.0,,0.9148590740629364,,,0.8158776445393552,,,,,,,0.8696335746067103,,,0.6857091907754082,,1.1547661707670345,1.0180078309407814,1.0528494838366353,1.0292156496039286,1.023785354360587,1.0758408246339517
Mytilus edulis,gene_associated_-2kb_+1kb,5028.888889,Mytilus_edulis_ott499751,1651231726.0,,0.9344231507369014,,,0.8076715541757716,,,,,,,0.9355664492798744,,,0.6487531786956728,,1.2119381235442577,1.010948179273838,0.9027933835987676,0.9663772436294112,1.1069007272241507,1.1117659341736785
Doris verrucosa,gene_associated_-2kb_+1kb,365.0,Doris_verrucosa_ott720739,601029023.0,,0.9215956619249032,,,0.7292711364907786,,,,,,,0.9817603794468942,,,0.6688358772795014,,1.1681061535616835,0.9187649281383367,1.00159188361209,1.045669500269729,1.1305762879497636,1.0721998086923104
Taenia hydatigena,gene_associated_-2kb_+1kb,545.3022321,Taenia_hydatigena_ott1004844,308586157.0,,0.9027799291462396,,,0.7216626702514888,,,,,,,1.0953534492686012,,,0.8125780396210777,,1.1499959884636348,0.9235461032347014,1.0037929481654126,1.0118322579129813,1.1533413260851781,0.9883141134366213
Ancula gibbosa,gene_associated_-2kb_+1kb,121.6666667,Ancula_gibbosa_ott739837,638039246.0,,1.0568883325957454,,,0.8463837159755186,,,,,,,0.9317173277197882,,,0.7507840631942705,,1.1237864128451094,0.900309390241059,0.9628921066684211,1.0715814641875852,1.0298156608154294,1.1123777686875251
Lomanotus vermiformis,gene_associated_-2kb_+1kb,365.0,Lomanotus_vermiformis_ott979912,898643329.0,,0.939497485469353,,,0.7428487059110677,,,,,,,0.941376068194568,,,0.6324438926631312,,1.1991214970540345,0.9450840710215325,0.9639144068184248,1.0254961541279786,1.117116516379565,1.1056899034678183
Xipholeptos notoides,gene_associated_-2kb_+1kb,160.8018868,Idiosepius_notoides_ott362798,1051385695.0,,0.887657809569835,,,0.7514628220272697,,,,,,,0.9552644058266936,,,0.6590193816345601,,1.0997969021847755,0.8901644463409584,0.972340368711546,1.032611454947819,1.1817172222584282,1.1978284153882732
Tylodina fungina,gene_associated_-2kb_+1kb,365.0,Tylodina_fungina_ott637191,674588215.0,,0.961416868642296,,,0.758304039508022,,,,,,,0.9509263594368536,,,0.6126030796438462,,1.206552220608168,0.9428461176548493,1.031494680826541,1.0598668404612481,1.0564893585060868,1.0449747312186293
Leptidea sinapis,gene_associated_-2kb_+1kb,199.55,Leptidea_sinapis_ott173126,685599024.0,,0.9679397480317152,,,0.9132793842159912,,,,,,,1.146977979453177,,,1.0083919380882105,,1.0583122183952431,0.9709347816867658,0.9113606714141574,0.91912093775271,1.0996789107883869,1.0444098955681846
Scyllaea pelagica,gene_associated_-2kb_+1kb,365.0,Scyllaea_pelagica_ott204536,646912406.0,,0.9204282793850018,,,0.7235773258252164,,,,,,,0.9749206872105644,,,0.537802166437237,,1.2191798684432111,0.9255289795183274,1.0102204281722649,1.0220096895021449,1.1209297790235302,1.1060806150412021
Chlamys rubida,gene_associated_-2kb_+1kb,2190.0,Chlamys_rubida_ott413566,730677795.0,,0.97006214609744,,,0.8565067881776726,,,,,,,0.8797349154489635,,,0.7032214798834836,,1.210774700210508,1.0616557771806094,0.9159181405550951,0.9626804173403546,1.0429462106441831,1.0782135166493088
Patella caerulea,gene_associated_-2kb_+1kb,1703.333333,Patella_caerulea_ott833972,725889058.0,,0.982734923845704,,,0.8438442939061105,,,,,,,0.9189035608380072,,,0.75630516952987,,1.1516524851024201,0.981505202155575,0.897728436907135,0.9775250777533637,1.0843730080512743,1.1548285422101565
Cryptochiton stelleri,gene_associated_-2kb_+1kb,9976.666667,Cryptochiton_stelleri_ott632182,783734439.0,,0.9462640107675212,,,0.8189737280162266,,,,,,,0.9408363006280772,,,0.703192278153426,,1.1949345859972935,1.01804641296127,0.9343567369763452,0.9665067983887782,1.0827552620163918,1.0843722428460467
Diplazon laetatorius,gene_associated_-2kb_+1kb,70.5,Diplazon_laetatorius_ott40237,251040971.0,,0.9751886827922762,,,0.6584641993398536,,,,,,,0.974410895569956,,,1.57021284014594,,0.9531246357320334,0.9030542212819848,0.6950943649783378,1.1323759212890894,1.285971147907538,0.9710740605759964
Crassadoma gigantea,gene_associated_-2kb_+1kb,7300.0,Crassadoma_gigantea_ott139557,902550592.0,,0.9622265860535166,,,0.8477619682477937,,,,,,,0.8866565413493891,,,0.6776473767329986,,1.2072613748289496,1.047411093771776,0.9253832357247139,0.9657809634083024,1.0533294793125523,1.090240829418265
