GeneID,Fragmented,Multi_copy,Single_copy
389527at33208,0,0,1
389570at33208,0,0,1
389591at33208,0,0,1
390192at33208,0,0,1
390402at33208,0,0,1
391896at33208,0,0,1
393419at33208,0,0,1
393895at33208,0,0,1
395147at33208,1,0,0
395183at33208,0,0,1
395556at33208,0,0,1
395919at33208,0,0,1
397019at33208,0,0,1
397659at33208,0,0,1
398013at33208,0,0,1
398202at33208,1,0,0
399092at33208,0,1,0
400042at33208,0,0,1
401196at33208,0,0,1
401220at33208,0,0,1
401779at33208,0,0,1
40200at33208,0,0,1
403171at33208,0,0,1
403817at33208,0,0,1
406927at33208,0,0,1
407472at33208,0,0,1
409186at33208,0,0,1
411515at33208,0,0,1
411755at33208,0,0,1
412370at33208,0,0,1
412542at33208,0,0,1
413334at33208,0,0,1
414001at33208,0,0,1
414571at33208,0,0,1
414579at33208,0,0,1
415618at33208,0,0,1
416175at33208,0,0,1
418979at33208,0,1,0
419502at33208,1,0,0
419914at33208,0,0,1
421396at33208,0,0,1
421685at33208,1,0,0
422751at33208,0,0,1
424392at33208,0,0,1
424569at33208,0,0,1
424646at33208,1,0,0
427349at33208,0,0,1
427789at33208,0,0,1
428202at33208,0,0,1
429274at33208,0,0,1
432050at33208,0,1,0
432155at33208,0,0,1
433216at33208,0,0,1
433606at33208,0,0,1
434068at33208,1,0,0
434863at33208,0,0,1
435678at33208,0,0,1
435921at33208,0,0,1
435939at33208,0,1,0
436007at33208,0,0,1
437653at33208,0,0,1
438133at33208,0,0,1
438433at33208,0,0,1
438453at33208,0,0,1
439736at33208,0,0,1
440195at33208,0,0,1
440493at33208,1,0,0
442169at33208,0,0,1
442203at33208,0,0,1
442823at33208,0,0,1
443305at33208,0,0,1
443518at33208,0,0,1
443659at33208,0,0,1
443928at33208,1,0,0
444160at33208,0,0,1
445091at33208,0,0,1
446000at33208,0,0,1
447320at33208,0,0,1
447400at33208,1,0,0
448196at33208,0,0,1
449189at33208,0,0,1
450785at33208,0,0,1
451242at33208,0,0,1
451957at33208,0,0,1
452208at33208,0,0,1
452499at33208,0,0,1
453052at33208,1,0,0
453687at33208,1,0,0
454911at33208,1,0,0
455512at33208,0,0,1
455941at33208,0,0,1
457777at33208,0,0,1
458807at33208,0,0,1
458974at33208,0,0,1
458988at33208,0,0,1
459253at33208,0,0,1
45934at33208,0,0,1
460044at33208,0,0,1
460518at33208,0,0,1
461123at33208,0,0,1
461193at33208,0,0,1
462325at33208,0,0,1
462897at33208,0,0,1
464204at33208,0,0,1
464312at33208,0,0,1
464987at33208,0,0,1
465092at33208,0,0,1
465401at33208,0,0,1
465512at33208,0,0,1
465703at33208,0,0,1
465933at33208,0,0,1
466616at33208,0,0,1
467106at33208,0,0,1
468248at33208,0,0,1
468359at33208,1,0,0
468631at33208,0,0,1
468757at33208,0,0,1
469367at33208,0,0,1
470523at33208,0,0,1
471608at33208,0,0,1
471787at33208,0,0,1
472313at33208,0,0,1
473106at33208,0,0,1
474144at33208,0,0,1
474387at33208,0,0,1
475826at33208,0,0,1
476036at33208,0,0,1
477939at33208,0,0,1
478073at33208,0,0,1
478984at33208,0,0,1
480735at33208,0,0,1
482691at33208,0,0,1
483489at33208,0,0,1
485003at33208,0,0,1
485696at33208,1,0,0
486370at33208,0,0,1
486431at33208,0,0,1
486993at33208,0,0,1
488559at33208,0,0,1
488635at33208,0,0,1
489359at33208,1,0,0
489858at33208,0,0,1
490248at33208,0,0,1
491252at33208,0,0,1
491289at33208,0,0,1
493505at33208,0,0,1
493913at33208,0,0,1
49474at33208,0,0,1
495100at33208,0,0,1
495175at33208,0,0,1
495207at33208,0,0,1
495311at33208,0,0,1
495389at33208,0,0,1
495605at33208,0,0,1
495926at33208,0,0,1
496070at33208,0,0,1
496219at33208,0,0,1
498535at33208,0,0,1
500261at33208,0,0,1
501788at33208,0,0,1
502128at33208,1,0,0
502407at33208,0,0,1
502429at33208,0,0,1
502691at33208,0,0,1
503333at33208,0,0,1
503828at33208,1,0,0
504207at33208,0,0,1
504292at33208,0,0,1
504731at33208,0,0,1
504912at33208,0,0,1
505718at33208,0,0,1
50756at33208,0,0,1
508379at33208,0,0,1
509494at33208,0,0,1
510174at33208,0,0,1
510522at33208,0,0,1
510581at33208,0,0,1
511272at33208,0,0,1
511386at33208,0,0,1
511575at33208,0,0,1
