"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c"
"intron","A_Rate",0.306473351349797,0.0894401462715733,3.42657480030534,0.000665747174018331,-0.000623832360493961,0.000491580755052511,-1.26903332582115,0.205066755999904,-0.00229973835288041,0.00107133822729727,-2.14660346684548,0.0323437589434281,0.998786267777612,466,0.00267194669530843,0.336895384856985,0.0929883069623558
"intron","T_Rate",0.328676556775737,0.0848055902817792,3.87564729734985,0.000121695841939624,2.05748909316987e-05,0.000675813178688196,0.0304446429583337,0.975725560187615,-0.00842640002783449,0.00139758132109352,-6.02927350319864,3.36880275103381e-09,0.996503045678649,466,0.00209369642569612,0.975725560187615,7.74824632737777e-08
"intron","G_Rate",0.18537680477059,0.089158265948637,2.07918809095484,0.0381499258186557,0.000602943539616942,0.000504674343647233,1.19471803392962,0.232808858814114,0.00583196196345678,0.00109492246452119,5.32636981378137,1.56656099373579e-07,0.998676073787317,466,0.0526510901438993,0.348403717242036,1.80154514279616e-06
"intron","C_Rate",0.179683017565534,0.0867631408546787,2.07096026948228,0.0389160231498386,0.000165440496397338,0.000569416259071625,0.290544033054258,0.771530161388386,0.00584473400090139,0.0012086636559509,4.83569930486835,1.8088069536403e-06,0.997968194282081,466,0.0526510901438993,0.806599714178768,1.3867519977909e-05
"upstream1","A_Rate",0.312241979470432,0.0893406929723874,3.49495811015185,0.000519759766847106,-0.000831223442576748,0.000522258037820825,-1.59159530803032,0.11215815059082,-0.00202067807077096,0.00112755314829486,-1.79209119661165,0.0737711750916846,0.998545004626054,466,0.00267194669530843,0.234512496689897,0.121195501936339
"upstream1","T_Rate",0.330239371800514,0.089992527040497,3.6696310533863,0.000271160656742227,-0.000936254523652994,0.000546101985401138,-1.71443164222388,0.0871186862371873,-0.00259959895393554,0.00117246320382535,-2.21721154698411,0.0270935720983924,0.998377878373656,466,0.00209369642569612,0.218252431236107,0.0890217368947178
"upstream1","G_Rate",0.181247033999536,0.0904618886037722,2.00357340308699,0.0456979736586451,0.00102039731571062,0.000452923387975257,2.25291372183758,0.0247319475504547,0.0029582937515442,0.00100153205131384,2.95376842674522,0.00329901542767655,0.999081953600195,466,0.0583918552304909,0.142208698415115,0.0189693387091401
"upstream1","C_Rate",0.176303270159018,0.0820213501398892,2.14948022506736,0.0321138900864916,0.000690795497652811,0.000590128480321999,1.17058491614552,0.242367803298808,0.00192721385220435,0.00123675213786751,1.55828625089534,0.119848651722408,0.997365678799851,466,0.0492412981326204,0.348403717242036,0.172282436850961
"upstream2","A_Rate",0.305383739973433,0.0938784069954278,3.25297104783964,0.00122554050833212,-0.00100277583105726,0.000553384433301014,-1.81207813359613,0.0706218017034014,-0.00136819143821395,0.00119325576148315,-1.14660367238735,0.252137663854931,0.998509122948323,466,0.00372722255827736,0.203037679897279,0.341127427568436
"upstream2","T_Rate",0.303300846064721,0.0888464158357087,3.41376569005972,0.000697029572689156,-0.000959256897796661,0.000573183187017097,-1.67356077345662,0.0948923614070031,-0.00129216382390768,0.00121964791547619,-1.0594564279669,0.289944345131935,0.998065225285207,466,0.00267194669530843,0.218252431236107,0.370484441001917
"upstream2","G_Rate",0.206864168887466,0.0849001878347612,2.43655725815448,0.0152036781547024,0.00148417801020477,0.000454292476213954,3.26700988441151,0.00116766586742644,0.00246751994618896,0.00099418132431443,2.48196167624706,0.0134197528194115,0.998879114997939,466,0.0249774712541539,0.0268563149508081,0.0514423858077441
"upstream2","C_Rate",0.184470789346918,0.0941442517223585,1.95944825065838,0.0506599123844957,0.00043703872171549,0.000564833660810357,0.773747657121705,0.439474912438894,0.000340433928208613,0.00121473195279183,0.280254361817182,0.77940753467806,0.998430540908677,466,0.0613251570970211,0.561661312842423,0.77940753467806
