Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_Rate,AT_Rate,AG_Rate,AC_Rate,TA_Rate,TT_Rate,TG_Rate,TC_Rate,GA_Rate,GT_Rate,GG_Rate,GC_Rate,CA_Rate,CT_Rate,CG_Rate,CC_Rate,AA_and_TT_Rate,AC_and_GT_Rate,AG_and_CT_Rate,CA_and_TG_Rate,CC_and_GG_Rate,GA_and_TC_Rate
Alitta virens,upstream2,2007.5,Alitta_virens_ott986619,671169925.0,0.0999558461764891,0.0832194445028489,0.0640072748680641,0.054608818149324,0.0610163789659595,0.0970437963877967,0.0804388049031769,0.0540726645781207,0.0683700931435419,0.0594657387355185,0.0460513866403145,0.0425611320199323,0.0726698345282899,0.052516767940119,0.0262715249889615,0.0377304934715418,,,,,,
Amphibalanus amphitrite,downstream1,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.0446560596202756,0.0300072948088562,0.0717848622858382,0.063826291542622,0.0219304298679705,0.0262613118826521,0.0641023113371844,0.0561503124938388,0.0760697410014261,0.0517865709798045,0.0846723579319545,0.1033759849634931,0.0695569882297273,0.0598700078205608,0.0954371299198885,0.0805123453139068,,,,,,
Amphibalanus amphitrite,downstream2,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.0447934388183579,0.0495169913494412,0.0634319674038817,0.0530703091452041,0.0388767057728302,0.0573218342200238,0.0893770876561542,0.050857680443968,0.073147865878643,0.0764028885457948,0.0905702681705985,0.076524173378307,0.0541651506062602,0.0535488925383604,0.0728299029393543,0.05556484313282,,,,,,
Amphibalanus amphitrite,exon,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.0401963758722453,0.03011997683206,0.0660512452767741,0.0651967895854593,0.0187919574151198,0.0241785034614005,0.0700576440411506,0.057724025705381,0.0730192790357724,0.0515067435253882,0.0831966241001737,0.1084893951512811,0.0689924704195052,0.0646788206415312,0.0982613012659624,0.0795388476707946,,,,,,
Amphibalanus amphitrite,genome,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,,0.061972,,,0.048902,,,,,,,0.065629,,,0.058861,,0.14530700000000002,0.117606,0.115564,0.137444,0.12685000000000002,0.121866
Amphibalanus amphitrite,intergenic,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,,0.0664003168665731,,,0.0527731786717858,,,,,,,0.060353868179296,,,0.0535630587210449,,0.1609038163806496,0.1153590782611105,0.1126578559226125,0.1357767996574354,0.12271717284138839,0.1194948544981032
Amphibalanus amphitrite,intron,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.0683437061498757,0.0628374990588872,0.0564219132702507,0.0569011005509466,0.050339797638797,0.0769199156254769,0.0733663621797447,0.0619112176168135,0.0597019294924663,0.0627231569642428,0.062027879695987,0.0636620878457722,0.0661186200356404,0.0600567766499522,0.0562987883770321,0.0623692488481138,,,,,,
Amphibalanus amphitrite,upstream1,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.077832082788371,0.0734756627232706,0.0550370902129696,0.0537193468975667,0.0591279948339217,0.0915241569884648,0.078592571467907,0.0592394457610951,0.0546797916523255,0.0602556159794405,0.0506741142109766,0.0599310971032592,0.068427591316006,0.0631861197704111,0.0412171752434711,0.053080143050543,,,,,,
Amphibalanus amphitrite,upstream2,2190.0,Amphibalanus_amphitrite_ott186242,807604242.0,0.0614956291876046,0.0560844587520938,0.0633277062395309,0.0542981836264656,0.0402206344221105,0.0657781092964824,0.0788578308207705,0.0592513347989949,0.0631543132328308,0.0591957181742043,0.0648129972780569,0.0772645780988274,0.0702994137353433,0.0626635783082077,0.0577398712311557,0.0655556427973199,,,,,,
Amphibalanus improvisus,downstream1,1095.0,Amphibalanus_improvisus_ott43613,763285307.0,0.0441777033383993,0.0339733052117903,0.0755869855153376,0.063780072991946,0.0232933221674265,0.026188186884195,0.0646692100120964,0.0601718308985453,0.0816351850128718,0.0540202433754122,0.0796397961188135,0.0966988203426279,0.070396906630274,0.0594894699295927,0.0919016159548401,0.0743773456158307,,,,,,
